"","KIDS","SNAP","FINC","NPL","AGE","FERH"
"1",1,"No",143500,5,33.8,"No"
"2",3,"No",263000,5,25,"No"
"3",1,"No",133600,4,31,"No"
"4",1,"No",45860,3,37.6666666666667,"No"
"5",2,"No",339000,4,21.25,"No"
"6",1,"Yes",10000,2,28.5,"No"
"7",2,"No",150000,4,20.5,"No"
"8",4,"No",22000,6,15,"No"
"9",1,"No",180000,4,25.75,"No"
"10",1,"No",61400,3,26.3333333333333,"No"
"11",4,"No",69200,6,17.6666666666667,"No"
"12",2,"No",154000,4,18.25,"Yes"
"13",3,"No",81400,5,16.8,"No"
"14",1,"No",66200,2,30.5,"No"
"15",2,"No",270000,4,30.5,"No"
"16",2,"Yes",95000,4,22.75,"No"
"17",1,"No",226000,3,39,"No"
"18",2,"No",55000,4,25.25,"No"
"19",1,"No",183300,2,32,"No"
"20",1,"No",24400,2,20,"No"
"21",1,"No",40200,2,34.5,"No"
"22",2,"Yes",55000,4,15.75,"Yes"
"23",3,"No",221000,5,23.8,"No"
"24",1,"No",115000,4,32.5,"Yes"
"25",3,"No",235000,5,21.4,"No"
"26",3,"Yes",900,5,19.6,"No"
"27",3,"No",127800,5,23.4,"No"
"28",1,"No",1e+05,4,48.5,"No"
"29",1,"No",101000,3,30.6666666666667,"No"
"30",2,"No",247860,4,24,"No"
"31",1,"No",148300,6,45.3333333333333,"No"
"32",1,"No",75000,2,31.5,"No"
"33",2,"No",162000,4,25.25,"No"
"34",1,"No",36000,6,35,"No"
"35",1,"No",161900,3,40.3333333333333,"No"
"36",1,"No",167000,3,30.6666666666667,"No"
"37",1,"No",225000,4,34,"No"
"38",3,"No",306600,7,30,"No"
"39",1,"No",137000,3,32.6666666666667,"No"
"40",1,"No",118600,3,31,"No"
"41",2,"No",71200,3,27,"No"
"42",1,"No",593000,3,34.6666666666667,"No"
"43",3,"No",155000,5,19,"No"
"44",2,"No",190100,4,18.5,"No"
"45",1,"No",63200,3,39.6666666666667,"No"
"46",1,"No",123000,4,20.5,"No"
"47",1,"No",137600,3,40,"No"
"48",2,"No",307500,5,26.2,"No"
"49",1,"No",240000,3,27.3333333333333,"No"
"50",2,"No",155000,4,33.25,"No"
"51",3,"No",145480,6,30.8333333333333,"No"
"52",1,"No",90000,3,32,"No"
"53",1,"No",160100,4,29.25,"No"
"54",3,"Yes",23400,4,16.25,"No"
"55",3,"No",150000,5,21.2,"No"
"56",2,"No",162000,5,31,"No"
"57",1,"No",72000,2,23.5,"No"
"58",2,"No",138000,4,20.5,"No"
"59",1,"No",65000,3,16.3333333333333,"Yes"
"60",1,"No",93000,3,21.6666666666667,"No"
"61",1,"No",39000,2,12,"Yes"
"62",1,"Yes",63430,3,44,"No"
"63",2,"No",122000,6,31.1666666666667,"No"
"64",1,"Yes",272300,4,34,"No"
"65",1,"No",40000,3,39.3333333333333,"No"
"66",3,"No",244000,5,22.6,"No"
"67",2,"No",85000,4,18.5,"No"
"68",1,"No",21500,3,23.6666666666667,"No"
"69",2,"No",180000,4,21,"No"
"70",1,"No",48100,2,27.5,"No"
"71",1,"No",86600,3,39,"No"
"72",2,"No",195000,4,25.75,"No"
"73",2,"No",275000,4,31.5,"No"
"74",1,"Yes",5200,3,17.3333333333333,"Yes"
"75",1,"No",2e+05,4,37.25,"No"
"76",1,"No",122000,3,39,"No"
"77",2,"No",98700,4,24.25,"No"
"78",1,"No",41600,3,15.6666666666667,"No"
"79",2,"No",229500,4,26.25,"No"
"80",1,"No",39100,3,24,"No"
"81",1,"No",8000,2,29.5,"No"
"82",1,"No",17000,3,19.3333333333333,"Yes"
"83",2,"No",90000,4,21,"No"
"84",2,"Yes",8800,4,20.5,"No"
"85",1,"No",84200,3,27.3333333333333,"No"
"86",2,"No",335000,4,24,"No"
"87",1,"Yes",84000,4,23.75,"Yes"
"88",1,"No",46000,2,35,"No"
"89",2,"No",580000,4,32.5,"No"
"90",3,"No",178450,4,24.5,"No"
